a	ə
allow	əˈlaʊ
alphabet	ˈælfəbɛt
an	æn
analysis	əˈnælɪsɪs
and	ænd
app	æp
are	ɑː
as	æz
at	æt
be	biː
beautiful	ˈbjuːtəfəl
because	bɪˈkɒz
been	bɪn
being	ˈbiːɪŋ
below	bɪˈləʊ
blow	bləʊ
bow	baʊ
brown	braʊn
by	baɪ
can	kæn
can't	kɑːnt
could	kʊd
cow	kaʊ
create	kriːˈeɪt
crow	krəʊ
data	ˈdeɪtə
did	dɪd
didn't	ˈdɪdənt
do	duː
does	dʌz
don't	dəʊnt
down	daʊn
english	ˈɪŋɡlɪʃ
example	ɪɡˈzɑːmpəl
fellow	ˈfɛləʊ
flow	fləʊ
follow	ˈfɒləʊ
for	fɔː
fox	fɒks
from	frɒm
glow	ɡləʊ
good	ɡʊd
great	ɡreɪt
grow	ɡrəʊ
had	hæd
hadn't	ˈhædənt
has	hæz
hasn't	ˈhæzənt
have	hæv
haven't	ˈhævənt
he	hiː
hello	həˈləʊ
her	hɜː
here	hɪə
herself	hɜːˈsɛlf
himself	hɪmˈsɛlf
his	hɪz
how	haʊ
i	aɪ
i'd	aɪd
i'll	aɪl
i'm	aɪm
i've	aɪv
if	ɪf
in	ɪn
into	ˈɪntuː
is	ɪz
isn't	ˈɪzənt
it	ɪt
it's	ɪts
its	ɪts
just	dʒʌst
know	nəʊ
language	ˈlæŋɡwɪdʒ
lazy	ˈleɪzi
little	ˈlɪtəl
low	ləʊ
meadow	ˈmɛdəʊ
mellow	ˈmɛləʊ
more	mɔː
music	ˈmjuːzɪk
my	maɪ
narrow	ˈnærəʊ
no	nəʊ
not	nɒt
now	naʊ
of	əv
on	ɒn
one	wʌn
our	aʊə
out	aʊt
over	ˈoʊvə
people	ˈpiːpəl
phonetic	fəˈnɛtɪk
pillow	ˈpɪləʊ
please	pliːz
program	ˈprəʊɡræm
pronounce	prəˈnaʊns
quick	kwɪk
read	riːd
said	sɛd
science	ˈsaɪəns
sentence	ˈsɛntəns
shadow	ˈʃædəʊ
she	ʃiː
should	ʃʊd
show	ʃəʊ
slow	sləʊ
snow	snəʊ
some	sʌm
stow	stəʊ
text	tɛkst
than	ðæn
thanks	θæŋks
that	ðæt
the	ðə
their	ðeə
them	ðɛm
then	ðɛn
there	ðeə
these	ðiːz
they	ðeɪ
this	ðɪs
those	ðəʊz
through	θruː
throw	θrəʊ
time	taɪm
to	tuː
today	təˈdeɪ
tomorrow	təˈmɒrəʊ
tow	təʊ
town	taʊn
transcribe	trænˈskraɪb
transcriber	trænˈskraɪbə
two	tuː
up	ʌp
us	ʌs
very	ˈvɛri
was	wɒz
wasn't	ˈwɒzənt
we	wiː
we're	wɪə
we've	wiːv
were	wɜː
what	wɒt
when	wɛn
where	weə
which	wɪtʃ
who	huː
why	waɪ
will	wɪl
window	ˈwɪndəʊ
with	wɪð
won't	wəʊnt
world	wɜːld
would	wʊd
write	raɪt
yellow	ˈjɛləʊ
you	juː
you're	jɔː
you've	juːv
your	jɔː
yours	jɔːz
